"Yes","Si"
"No","No"
"VerifiedReviews","Recensioni Verificate"
"Product Reviews","Product Reviews"
"Number of reviews","Numero di recensioni"
"Average rating","Voto medio"
"View the trust certificate","Visualizza il certificato di fiducia"
"More Reviews...","Più commenti..."
"No reviews for this product.","Su questo prodotto non è ancora stata lasciata alcuna recensione."
"the","il"
"d/m/Y","d/m/Y"
"Comments of",,"Commento di "
"on","il"
"review(s)","recensioni"
"review","recensione"
"Review","Recensione"
"reviews","recensioni"
"Reviews","Recensioni"
"See the review(s)","Vedi le recensioni"
"Based on","Basato su"
"customer(s) reviews","recensioni cliente"
"Anonymous A.","Cliente anonimo"
"Anonymous a.","Cliente anonimo"
"anonymous a.","Cliente anonimo"
"anonymous A.","Cliente anonimo"
"anonymous  .","Cliente anonimo"
"anonymous ","Cliente anonimo"
"anonymous ","Cliente anonimo"
"anonymous","Cliente anonimo"
"Anonymous  .","Cliente anonimo"
"Anonymous ","Cliente anonimo"
"Anonymous ","Cliente anonimo"
"Anonymous","Cliente anonimo"
"Verified Reviews","Recensioni Verificate"
"Export reviews (CSV file)","Esporta recensioni (file CSV)"
"Installation Status","Stato di installazione"
"Configuration","Configurazione"
"General Configuration","Configurazione Generale"
"IMPORTANT: BEFORE ALL PLEASE SELECT THE STORE OR WEBSITE TO CONFIGURE IN THE TOP-LEFT MENU. You can configure the module for all websites, for a specific website or for a specific store view.","IMPORTANTE: PRIMA DI TUTTO, SELEZIONA LO STORE DI RIFERIMENTO DA CONFIGURARE NEL MENU' IN ALTO A SINISTRA. Puoi configurare il modulo per tutti i siti, per un sito specifico o per una specifica store view."
"Enable Module in this view","Abilita il modulo su questo sito"
"By activating the module, you will reap your website and product reviews. Go to the advanced configuration if you want to change the product reviews configuration.","Attivando il modulo, raccoglierai le recensioni del tuo sito e le recensioni del prodotto. Per raccogliere anche le recensioni prodotto, vai alla configurazione avanzata."
"Secret Key","Chiave Segreta"
"Website ID","ID Website"
"Advanced Configuration","Configurazione Avanzata"
"Add reviews to product page","Aggiungi la recensione alla pagina prodotto"
"This configuration is used to add the product reviews block in the product page.","Questa configurazione è usata per aggiungere il tab recensione prodotto alla pagina prodotto"
"jQuery present on the site?","jQuery presente sul sito?"
"Change this to yes, if jQuery is already used on the site.","Seleziona sì, se la jQuery è attiva sul sito."
"Activate the Rich-Snippets in the product page","Attivare i Rich-Snippets nella pagina prodotto"
"Use the URL of the Parent product","Usare la URL del prodotto Genitore"
"ATTENTION! OPTION ONLY RESERVED FOR VERIFIED-REVIEWS TEAM. Change it only if our team contact you.","ATTENZIONE! OPZIONE RISERVATA AL TEAM DI RECENSIONI VERIFICATE. Cambiala solamente se ne abbiamo parlato insieme."
"Use the SKU and PLA-GoogleShopping data of the Parent product.","Usa la SKU ed le informazioni del PLA-GoogleShopping per il prodotto Genitore."
"Google Shopping - Product Data (PLA)","Google Shopping - Informazioni Prodotto (PLA)"
"Fields Mapping","Mappatura Campi"
"IMPORTANT: Before all please select THE WEBSITE WHERE YOU ALREADY CONFIGURED THE MODULE, otherwise Google Shopping won't recognize your product data. Then UNCHECK ONLY THE FIELDS that you are sure to get extra product data for Google Shopping.","IMPORTANTE: Prima di tutto, seleziona IL SITO DOVE HAI GIA' CONFIGURATO IL MODULO, altrimenti Google Shopping non riconoscerà le informazioni. Dopo, DESELEZIONA SOLAMENTE I CAMPI per i quali sei sicuro di ricevere informazioni extra per Google Shopping."
"Google Shopping PLA can only be configured in WEBSITES, please select in the top-left menu the website that you want to configure.","Il Google Shopping PLA può essere configurato solamente nei SITI, per favore seleziona nel menù in alto a sinistra il sito che vuoi configurare."
"ID","ID"
"WARNING! ID is already got from your products, change it only if you are sure that the module is collecting a wrong data.","ATTENZIONE! L'ID prodotto è già stato acquisito; cambialo solo se pensi possa essere errato."
"SKU","SKU"
"WARNING! SKU is already got from your products, change it only if you are sure that the module is collecting a wrong data.","ATTENZIONE! L'SKU prodotto è già stato acquisito; cambialo solo se pensi possa essere errato."
"Short description (product name)","Breve descrizione (nome prodotto)"
"WARNING! SHORT DESCRIPTION is already got from your products, change it only if you are sure that the module is collecting a wrong data.","ATTENZIONE! LA BREVE DESCRIZIONE del prodotto è già stata acquisita; cambiala solo se pensi possa essere errata."
"Link","Link"
"WARNING! PRODUCT LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","ATTENZIONE! Il LINK prodotto è già stato acquisito; cambialo solo se pensi possa essere errato."
"Image link","Link immagine"
"WARNING! PRODUCT IMAGE LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","ATTENZIONE! Il LINK IMMAGINE prodotto è già stato acquisito; cambialo solo se pensi possa essere errato."
"Brand","Marca"
"Category","Categoria"
"mpn","mpn"
"gtin_upc","gtin_upc"
"gtin_ean","gtin_ean"
"gtin_jan","gtin_jan"
"gtin_isbn","gtin_isbn"
"Extra Info 1","Informazioni extra 1"
"Extra Info 2","Informazioni extra 2"
"Extra Info 3","Informazioni extra 3"
"Extra Info 4","Informazioni extra 4"
"Extra Info 5","Informazioni extra 5"
"Extra Info 6","Informazioni extra 6"
"Extra Info 7","Informazioni extra 7"
"Extra Info 8","Informazioni extra 8"
"Extra Info 9","Informazioni extra 9"
"Extra Info 10","Informazioni extra 10"
"No rich-snippets","Senza rich-snippets"
"Rich-snippets using schema.org format","Rich-snippets utilizzando il formato schema.org"
"Store views","Sito web o negozio"
"Store views title","Titolo del negozio"
"Before all please select the store to export orders.","Prima di tutto, seleziona il negozio per esportare ordini."
"Order status","Stato dell'ordine"
"Keep all the options unchecked to get orders from all status.","Tenere tutte le opzioni non selezionate per ottenere ordini da tutti lo stato."
"From","A partire dal"
"Leave it empty to get orders from the beginning of time.","Lasciare vuoto per ottenere ordini dall'inizio del tempo."
"To","Al"
"Leave it empty to use the current date.","Lasciare vuoto per utilizzare la data corrente."
"Request product reviews?","Richiedi le recensioni del prodotto?"
"It add product information to orders.","Aggiunge le informazioni sui prodotti agli ordini."
"Export File","Esportare il file"
"Back","Indietro"
"Reset","Azzerare"
